Make,Car_Name,CC_Capacity,Horsepower,Top_Speed_kmh,Acceleration_0_100_sec,Price_USD,Seats,Torque_Nm,Engine_Layout,Fuel_Type_Cleaned
FERRARI,Sf90 Stradale,3990.0,963.0,340.0,2.5,1100000.0,2,800.0,V-type,Hybrid
ROLLS ROYCE,Phantom,6749.0,563.0,250.0,5.3,460000.0,5,900.0,V-type,Petrol
FORD,Ka+,1200.0,77.5,165.0,10.5,13500.0,5,120.0,Inline,Petrol
MERCEDES,Gt 63 S,3982.0,630.0,250.0,3.2,161000.0,4,900.0,V-type,Petrol
AUDI,Audi R8 Gt,5204.0,602.0,320.0,3.6,253290.0,2,560.0,V-type,Petrol
BMW,Mclaren 720S,3994.0,710.0,341.0,2.9,499000.0,2,770.0,V-type,Petrol
ASTON MARTIN,Vantage F1,3982.0,656.0,314.0,3.6,193440.0,2,685.0,V-type,Petrol
BENTLEY,Continental Gt Azure,3996.0,550.0,318.0,4.0,311000.0,4,900.0,V-type,Petrol
LAMBORGHINI,Veneno Roadster,6498.0,750.0,356.0,2.9,4500000.0,2,690.0,V-type,Petrol
FERRARI,F8 Tributo,3900.0,710.0,340.0,2.9,280000.0,2,770.0,V-type,Petrol
FERRARI,812 Gts,6496.0,789.0,340.0,2.9,350000.0,2,718.0,V-type,Petrol
FERRARI,Portofino,3900.0,592.0,320.0,3.2,210000.0,4,760.0,V-type,Petrol
FERRARI,Roma,3900.0,612.0,320.0,3.4,230000.0,4,760.0,V-type,Petrol
FERRARI,Monza Sp2,6496.0,789.0,340.0,2.9,1700000.0,2,719.0,V-type,Petrol
FERRARI,F8 Spider,3900.0,710.0,340.0,2.9,280000.0,2,770.0,V-type,Petrol
FERRARI,Portofino M,3900.0,612.0,320.0,3.2,220000.0,4,760.0,V-type,Petrol
FERRARI,Roma Spider,3900.0,612.0,320.0,3.4,240000.0,4,760.0,V-type,Petrol
TOYOTA,Gr Supra,2998.0,382.0,250.0,4.1,53900.0,2,500.0,Inline,Petrol
TOYOTA,Toyota 86,1998.0,205.0,226.0,6.4,27000.0,4,205.0,Boxer,Petrol
TOYOTA,Toyota  Gr86,2387.0,228.0,226.0,5.6,30000.0,4,250.0,Boxer,Petrol
TOYOTA,Toyota Land Cruiser,5663.0,381.0,220.0,6.7,85000.0,7,500.0,V-type,Diesel
TOYOTA,Toyota Sequoia,5663.0,381.0,200.0,6.9,50000.0,7,651.0,V-type,Petrol
NISSAN,Gt-R,3799.0,600.0,315.0,2.9,113000.0,4,637.0,V-type,Petrol
NISSAN,370Z,3696.0,332.0,250.0,4.7,30000.0,2,366.0,V-type,Petrol
NISSAN,Z Proto,2998.0,400.0,290.0,4.1,40000.0,2,475.0,V-type,Petrol
NISSAN,Altima,2488.0,188.0,225.0,7.3,25000.0,5,380.0,Inline,Petrol
NISSAN,Maxima,3498.0,300.0,240.0,5.8,35000.0,5,354.0,V-type,Petrol
NISSAN,Sentra,1998.0,149.0,200.0,8.2,20000.0,5,240.0,Inline,Petrol
NISSAN,Rogue,2488.0,201.0,200.0,7.5,28000.0,5,270.0,Inline,Petrol
NISSAN,Pathfinder,3498.0,284.0,225.0,6.5,35000.0,7,351.0,V-type,Petrol
NISSAN,Frontier,3799.0,310.0,180.0,6.8,30000.0,5,381.0,V-type,Petrol
NISSAN,Titan,5598.0,400.0,200.0,5.9,40000.0,5,560.0,V-type,Petrol
ASTON MARTIN,Valkyrie,6496.0,1160.0,402.0,2.5,3200000.0,2,900.0,V-type,Hybrid
ASTON MARTIN,Valhalla,3996.0,1000.0,362.0,2.5,1100000.0,2,1000.0,V-type,Hybrid
ASTON MARTIN,Dbs Superleggera,5204.0,715.0,340.0,3.4,316000.0,2,900.0,V-type,Petrol
ASTON MARTIN,Db11,5204.0,600.0,322.0,3.9,208000.0,4,700.0,V-type,Petrol
ASTON MARTIN,Vantage,3996.0,503.0,313.0,3.6,142000.0,2,685.0,V-type,Petrol
ASTON MARTIN,Dbx,3996.0,542.0,291.0,4.5,189000.0,5,700.0,V-type,Petrol
ASTON MARTIN,Rapide Amr,5935.0,580.0,328.0,4.2,240000.0,4,630.0,V-type,Petrol
ASTON MARTIN,Vanquish,5935.0,580.0,324.0,3.6,294000.0,2,630.0,V-type,Petrol
ASTON MARTIN,Lagonda Taraf,5935.0,540.0,314.0,4.2,1100000.0,4,630.0,V-type,Petrol
ASTON MARTIN,Victor,5204.0,836.0,320.0,2.8,1300000.0,2,821.0,V-type,Petrol
LAMBORGHINI,Sian,6498.0,819.0,350.0,2.8,2800000.0,2,720.0,V-type,Hybrid
LAMBORGHINI,Aventador Svj,6498.0,759.0,350.0,2.8,518000.0,2,720.0,V-type,Petrol
LAMBORGHINI,Huracan Performante,5204.0,640.0,325.0,2.9,274000.0,2,600.0,V-type,Petrol
LAMBORGHINI,Huracan Evo,5204.0,640.0,325.0,2.9,261000.0,2,600.0,V-type,Petrol
LAMBORGHINI,Aventador Sv,6498.0,740.0,350.0,2.8,493000.0,2,690.0,V-type,Petrol
LAMBORGHINI,Urus,3996.0,641.0,305.0,3.6,211000.0,5,850.0,V-type,Petrol
LAMBORGHINI,Huracan Spyder,5204.0,610.0,325.0,3.4,287000.0,2,600.0,V-type,Petrol
LAMBORGHINI,Aventador Roadster,6498.0,700.0,350.0,3.0,445000.0,2,690.0,V-type,Petrol
LAMBORGHINI,Huracan  Performante Spyder,5204.0,640.0,325.0,3.1,308000.0,2,600.0,V-type,Petrol
LAMBORGHINI,Aventador S,6498.0,740.0,350.0,2.9,421000.0,2,690.0,V-type,Petrol
LAMBORGHINI,Huracan Evo Spyder,5204.0,640.0,325.0,3.1,287000.0,2,600.0,V-type,Petrol
LAMBORGHINI,Urus Performante,3996.0,641.0,305.0,3.3,242000.0,5,850.0,V-type,Petrol
LAMBORGHINI,Aventador Ultimae,6498.0,769.0,355.0,2.8,545000.0,2,720.0,V-type,Petrol
LAMBORGHINI,Huracan Evo Rwd,5204.0,610.0,325.0,3.3,258000.0,2,560.0,V-type,Petrol
LAMBORGHINI,Aventador Svj Roadster,6498.0,759.0,350.0,2.9,573000.0,2,720.0,V-type,Petrol
LAMBORGHINI,Urus S,3996.0,671.0,305.0,3.3,263000.0,5,850.0,V-type,Petrol
LAMBORGHINI,Huracan Sto,5204.0,640.0,325.0,3.0,327000.0,2,565.0,V-type,Petrol
LAMBORGHINI,Aventador Lp 780-4 Ultimate,6498.0,769.0,355.0,2.8,545000.0,2,720.0,V-type,Petrol
LAMBORGHINI,Huracan Evo Rwd Spyder,5204.0,610.0,325.0,3.3,273000.0,2,600.0,V-type,Petrol
LAMBORGHINI,Aventador Svj Xago,6498.0,759.0,350.0,2.9,603000.0,2,720.0,V-type,Petrol
LAMBORGHINI,Urus Graphite Capsule,3998.0,641.0,305.0,3.3,253000.0,5,850.0,V-type,Petrol
LAMBORGHINI,Huracan Sto Evo,5204.0,640.0,325.0,3.0,342000.0,2,565.0,V-type,Petrol
LAMBORGHINI,Aventador Lp 780-4 Ultimate Roadster,6498.0,769.0,355.0,2.8,573000.0,2,720.0,V-type,Petrol
ROLLS ROYCE,Ghost,6592.0,591.0,250.0,4.8,332000.0,5,850.0,V-type,Petrol
ROLLS ROYCE,Wraith,6592.0,624.0,250.0,4.4,330000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Dawn,6592.0,624.0,250.0,4.9,360000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Cullinan,6749.0,563.0,250.0,5.2,325000.0,5,850.0,V-type,Petrol
ROLLS ROYCE,Phantom Extended,6749.0,563.0,250.0,5.3,500000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Ghost Extended,6592.0,591.0,250.0,4.8,370000.0,5,850.0,V-type,Petrol
ROLLS ROYCE,Wraith Black Badge,6592.0,624.0,250.0,4.3,360000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Dawn Black Badge,6592.0,624.0,250.0,4.8,390000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Cullinan Black Badge,6749.0,563.0,250.0,5.1,350000.0,5,850.0,V-type,Petrol
ROLLS ROYCE,Phantom Coupe,6749.0,563.0,250.0,5.3,450000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Ghost Coupe,6592.0,591.0,250.0,4.8,340000.0,4,850.0,V-type,Petrol
ROLLS ROYCE,Wraith Coupe,6592.0,624.0,250.0,4.4,330000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Dawn Convertible,6592.0,624.0,250.0,4.9,380000.0,4,870.0,V-type,Petrol
ROLLS ROYCE,Cullinan Suv,6749.0,563.0,250.0,5.2,320000.0,5,850.0,V-type,Petrol
MERCEDES,Benz S-Class S 580,3982.0,496.0,250.0,4.4,116000.0,5,700.0,V-type,Petrol
MERCEDES,Benz E-Class E 63 S,3982.0,603.0,250.0,3.4,104000.0,5,850.0,V-type,Petrol
MERCEDES,Benz Cla 45 Amg,1991.0,382.0,250.0,4.1,53000.0,5,500.0,Inline,Petrol
MERCEDES,Benz Gle 63 S,3982.0,603.0,250.0,4.2,113000.0,5,850.0,V-type,Petrol
MERCEDES,Benz S-Class S 500,2996.0,429.0,250.0,4.9,109000.0,5,700.0,V-type,Petrol
MERCEDES,Benz E-Class E 450,2996.0,362.0,250.0,5.2,62000.0,5,500.0,V-type,Petrol
MERCEDES,Benz Cls 450,2996.0,362.0,250.0,5.2,70000.0,5,500.0,V-type,Petrol
MERCEDES,Benz Gt 53,2996.0,429.0,250.0,4.5,99000.0,5,700.0,V-type,Petrol
MERCEDES,Benz Gle 450,2996.0,362.0,250.0,5.5,63000.0,5,500.0,V-type,Petrol
MERCEDES,Benz A-Class A 45 S,1991.0,416.0,250.0,3.9,53000.0,5,500.0,Inline,Petrol
MERCEDES,Benz C-Class C 43,2996.0,402.0,250.0,4.7,52000.0,5,520.0,V-type,Petrol
MERCEDES,Benz E-Class E 350,1991.0,255.0,250.0,5.7,49000.0,5,500.0,Inline,Petrol
MERCEDES,Benz Gle 350,1991.0,255.0,250.0,6.1,53000.0,5,500.0,Inline,Petrol
MERCEDES,Benz Glc 43,2996.0,402.0,250.0,4.7,54000.0,5,520.0,V-type,Petrol
MERCEDES,Benz Gla 45,1991.0,382.0,250.0,4.3,48000.0,5,500.0,Inline,Petrol
MERCEDES,Benz Glc 350,1991.0,255.0,250.0,6.1,46000.0,5,500.0,Inline,Petrol
MERCEDES,Benz Gle 53,2996.0,429.0,250.0,5.2,71000.0,5,620.0,V-type,Petrol
MERCEDES,Benz S-Class S 350,1991.0,255.0,250.0,6.5,90000.0,5,500.0,Inline,Petrol
MERCEDES,Benz Eqs 53,,751.0,250.0,3.4,102000.0,5,950.0,Electric Motor,Electric
MERCEDES,Benz Maybach S 680,5980.0,630.0,250.0,4.7,200000.0,5,1000.0,V-type,Petrol
BMW,M5 Cs,4395.0,627.0,305.0,3.0,142000.0,5,750.0,V-type,Petrol
BMW,M4 Gts,2993.0,493.0,305.0,3.7,133000.0,4,600.0,Inline,Petrol
BMW,M3 Competition,2993.0,503.0,285.0,3.5,76000.0,5,650.0,Inline,Petrol
BMW,M2 Cs,2993.0,444.0,280.0,4.0,83000.0,4,550.0,Inline,Petrol
BMW,X5 M Competition,4935.0,523.0,285.0,4.1,114000.0,5,750.0,V-type,Petrol
BMW,X3 M Competition,2993.0,503.0,285.0,4.1,69000.0,5,650.0,Inline,Petrol
BMW,M8 Gran Coupe,4395.0,523.0,305.0,3.3,146000.0,5,750.0,V-type,Petrol
BMW,M850I Drive Coupe,4935.0,523.0,285.0,3.7,108000.0,4,750.0,V-type,Petrol
ROLLS ROYCE,Dawn Black Badge Volante,6592.0,563.0,250.0,4.8,398000.0,4,840.0,V-type,Petrol
ROLLS ROYCE,Cullinan Black Badge Suv,6749.0,563.0,250.0,5.1,381000.0,5,850.0,V-type,Petrol
ROLLS ROYCE,Phatom Tranquility,6749.0,563.0,250.0,5.3,475000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Ghost Zenith,6749.0,563.0,250.0,4.9,335000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Wraith Eagle Viii,6592.0,623.0,250.0,4.5,349000.0,4,800.0,V-type,Petrol
ROLLS ROYCE,Phatom Orchid,6749.0,563.0,250.0,5.3,495000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Ghost Azure,6749.0,563.0,250.0,4.9,355000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Wraith Kryptos,6592.0,623.0,250.0,4.5,369000.0,4,800.0,V-type,Petrol
ROLLS ROYCE,Dawn Silver Bullet,6592.0,563.0,250.0,4.8,418000.0,4,840.0,V-type,Petrol
ROLLS ROYCE,Cullinan Fux Orange,6749.0,563.0,250.0,5.1,401000.0,5,850.0,V-type,Petrol
ROLLS ROYCE,Phantom Celestial,6749.0,563.0,250.0,5.3,515000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Ghost Mysore,6749.0,563.0,250.0,4.9,375000.0,5,900.0,V-type,Petrol
ROLLS ROYCE,Wraith Luminary,6592.0,623.0,250.0,4.5,389000.0,4,800.0,V-type,Petrol
ROLLS ROYCE,Dawn Black Badge Adamas,6592.0,563.0,250.0,4.8,439000.0,4,840.0,V-type,Petrol
ROLLS ROYCE,Cullinan Red Diamond,6749.0,563.0,250.0,5.1,421000.0,5,850.0,V-type,Petrol
AUDI,R8 V10 Plus,5204.0,610.0,330.0,3.2,194000.0,2,560.0,V-type,Petrol
AUDI,Rs7 Sportback,3993.0,591.0,305.0,3.6,114000.0,5,800.0,V-type,Petrol
AUDI,S8,3993.0,563.0,305.0,4.3,101000.0,5,800.0,V-type,Petrol
AUDI,Rs6 Avant,3993.0,591.0,305.0,3.6,109000.0,5,800.0,V-type,Petrol
AUDI,S7 Sportback,3993.0,563.0,305.0,4.3,96000.0,5,650.0,V-type,Petrol
AUDI,A8,2995.0,335.0,250.0,5.7,86000.0,5,600.0,V-type,Petrol
AUDI,S5 Coupe,2995.0,349.0,250.0,4.8,64000.0,4,500.0,V-type,Petrol
AUDI,Sq5,2995.0,349.0,250.0,5.4,62000.0,5,500.0,V-type,Petrol
AUDI,S4 Sedan,2995.0,349.0,250.0,4.7,59000.0,5,500.0,V-type,Petrol
AUDI,S3 Sedan,1984.0,306.0,250.0,4.8,52000.0,5,400.0,Inline,Petrol
AUDI,Q7,2995.0,335.0,250.0,6.3,60000.0,7,600.0,V-type,Petrol
AUDI,Q5,1984.0,248.0,240.0,6.3,43000.0,5,500.0,Inline,Petrol
AUDI,A7,2995.0,335.0,250.0,5.7,68000.0,5,600.0,V-type,Petrol
AUDI,A6,2995.0,335.0,250.0,5.7,58000.0,5,600.0,V-type,Petrol
AUDI,A5 Coupe,1984.0,248.0,240.0,6.3,45000.0,4,500.0,Inline,Petrol
AUDI,A4,1984.0,248.0,240.0,6.5,39000.0,5,400.0,Inline,Petrol
AUDI,Q3,1984.0,248.0,230.0,7.3,35000.0,5,400.0,Inline,Petrol
AUDI,E-Tron,,402.0,200.0,5.5,75000.0,5,664.0,Electric Motor,Electric
AUDI,E-Tron Sportback,,402.0,200.0,5.5,78000.0,5,664.0,Electric Motor,Electric
AUDI,Tt Coupe,1984.0,248.0,250.0,5.3,49000.0,2,400.0,Inline,Petrol
BMW,I8 Roadster,,369.0,250.0,4.4,165000.0,2,570.0,Electric Motor,Hybrid
BMW,330I,1998.0,255.0,250.0,5.6,45000.0,5,400.0,Inline,Petrol
BMW,M340I Xdrive,2998.0,382.0,250.0,4.1,57000.0,5,500.0,Inline,Petrol
BMW,430I Coupe,1998.0,255.0,250.0,5.8,48000.0,4,400.0,Inline,Petrol
BMW,M4 Competition,2993.0,503.0,290.0,3.8,81000.0,4,650.0,Inline,Petrol
BMW,530I,1998.0,248.0,250.0,5.9,57000.0,5,400.0,Inline,Petrol
BMW,M550I Xdrive,4395.0,523.0,250.0,3.6,78000.0,5,650.0,V-type,Petrol
BMW,118I,1499.0,136.0,213.0,8.5,32000.0,5,220.0,Inline,Petrol
BMW,128Ti,1998.0,261.0,250.0,6.1,42000.0,5,400.0,Inline,Petrol
BMW,M135I Xdrive,1998.0,302.0,250.0,4.8,30000.0,5,450.0,Inline,Petrol
BMW,116D,1496.0,116.0,200.0,10.3,30000.0,5,280.0,Inline,Diesel
BMW,120D Xdrive,1995.0,190.0,230.0,6.9,38000.0,5,400.0,Inline,Diesel
BMW,116I,1499.0,109.0,200.0,10.9,28000.0,5,200.0,Inline,Petrol
BMW,118D,1995.0,150.0,216.0,8.4,34000.0,5,380.0,Inline,Diesel
BMW,120I,1998.0,178.0,230.0,7.1,37000.0,5,300.0,Inline,Petrol
BMW,125I,1998.0,224.0,240.0,6.1,42000.0,5,400.0,Inline,Petrol
BMW,114D,1496.0,95.0,185.0,12.2,27000.0,5,270.0,Inline,Diesel
BMW,114I,1598.0,102.0,195.0,11.2,26000.0,5,200.0,Inline,Petrol
BMW,125D,1995.0,224.0,240.0,6.3,44000.0,5,400.0,Inline,Diesel
BMW,118I Xdrive,1499.0,136.0,211.0,8.9,34000.0,5,250.0,Inline,Petrol
BMW,116D Efficientdynamics,1496.0,116.0,200.0,10.9,30000.0,5,270.0,Inline,Diesel
BMW,118I Sportline,1499.0,136.0,213.0,8.5,35000.0,5,250.0,Inline,Petrol
BMW,118I M Sport,1499.0,136.0,213.0,8.5,37000.0,5,250.0,Inline,Petrol
BMW,120I M Sport,1998.0,178.0,230.0,7.1,39000.0,5,300.0,Inline,Petrol
BMW,116I Efficientdynamics,1598.0,109.0,195.0,10.9,29000.0,5,200.0,Inline,Petrol
BMW,116D Advantage,1496.0,116.0,200.0,10.5,31000.0,5,270.0,Inline,Diesel
BMW,120D Efficientdynamics,1995.0,163.0,225.0,7.7,39000.0,5,400.0,Inline,Diesel
BMW,118I Shadow Line,1499.0,136.0,213.0,8.5,36000.0,5,250.0,Inline,Petrol
BMW,118D Sport Line,1995.0,150.0,216.0,8.4,36000.0,5,380.0,Inline,Diesel
BMW,120I Xdrive,1998.0,178.0,230.0,7.2,40000.0,5,300.0,Inline,Petrol
BMW,114D Sport Line,1496.0,95.0,185.0,12.2,28000.0,5,270.0,Inline,Diesel
BMW,118I Urban Line,1499.0,136.0,213.0,8.5,35000.0,5,250.0,Inline,Petrol
VOLVO,Xc90,1969.0,247.0,200.0,6.5,60000.0,7,400.0,Inline,Mixed Fuel
VOLVO,Xc60,1969.0,247.0,220.0,6.4,55000.0,5,400.0,Inline,Mixed Fuel
VOLVO,S90,1969.0,295.0,250.0,5.9,60000.0,5,400.0,Inline,Mixed Fuel
KIA,Sportage Lx,2480.0,187.0,200.0,8.0,27000.0,5,250.0,Inline,Petrol
KIA,Sportage Ex,2480.0,187.0,200.0,8.0,30000.0,5,250.0,Inline,Petrol
KIA,Sportage Gt-Line,2480.0,187.0,200.0,8.0,32000.0,5,350.0,Inline,Petrol
KIA,Sportage Sx Turbo,1998.0,240.0,210.0,6.7,36000.0,5,400.0,Inline,Petrol
KIA,Sportage Nightfall Edition,2480.0,187.0,200.0,8.0,33000.0,5,350.0,Inline,Petrol
HONDA,Civic Type R,1996.0,315.0,272.0,5.7,44000.0,5,400.0,Inline,Petrol
KIA,Sportage Phev,1600.0,261.0,180.0,8.0,41000.0,5,350.0,Electric Motor,Hybrid
KIA,Sportage 2024(Base Model),2480.0,187.0,200.0,8.0,26000.0,5,250.0,Inline,Petrol
KIA,Sportage 2024(Top Trim),1998.0,240.0,210.0,6.7,38000.0,5,400.0,Inline,Petrol
KIA,Sportage 2024(Base Awd),2480.0,187.0,200.0,8.3,29000.0,5,250.0,Inline,Petrol
